linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
iteration 8: energy = 7341708.899562 = 7341708.896618, xb = 7336228.371396, voltage energy = 7366619.918475, gap = 35872.0723010525107384
iteration 9: energy = 7334131.874868 = 7334131.871923, xb = 7332232.176228, voltage energy = 7352942.277802, gap = 22609.7972686970606446
iteration 10: energy = 7329236.889654 = 7329236.886710, xb = 7327408.929036, voltage energy = 7339491.141706, gap = 13910.1703432938084006
iteration 11: energy = 7326511.776672 = 7326511.773728, xb = 7325873.401359, voltage energy = 7333316.355409, gap = 8081.3264185488224030
iteration 12: energy = 7325010.328703 = 7325010.325759, xb = 7324524.741870, voltage energy = 7329591.815522, gap = 5552.6575418952852488
iteration 13: energy = 7323871.142248 = 7323871.139303, xb = 7323581.888602, voltage energy = 7326825.133647, gap = 3532.4957455089315772
iteration 14: energy = 7323134.037044 = 7323134.034099, xb = 7322995.899845, voltage energy = 7325087.984870, gap = 2230.2192784631624818
iteration 15: energy = 7322550.434695 = 7322550.431751, xb = 7322790.945011, voltage energy = 7324259.729157, gap = 1228.2708851033821702
iteration 16: energy = 7322251.951917 = 7322251.948972, xb = 7322517.878478, voltage energy = 7323544.574735, gap = 760.7667505638673902
iteration 17: energy = 7322085.266932 = 7322085.263987, xb = 7322174.668604, voltage energy = 7322767.604880, gap = 503.5316595416516066
iteration 18: energy = 7321984.720926 = 7321984.717981, xb = 7322205.078433, voltage energy = 7322767.696093, gap = 342.2572086760774255
iteration 19: energy = 7321942.650642 = 7321942.647697, xb = 7321985.819183, voltage energy = 7322257.638182, gap = 228.6475140536203980
iteration 20: energy = 7321894.299313 = 7321894.296368, xb = 7321958.871034, voltage energy = 7322175.948717, gap = 152.5030169533565640
iteration 21: energy = 7321855.410867 = 7321855.407922, xb = 7321929.215831, voltage energy = 7322088.540370, gap = 85.5166306775063276
iteration 22: energy = 7321843.522806 = 7321843.519861, xb = 7321941.883469, voltage energy = 7322104.390762, gap = 64.1436843257397413
iteration 23: energy = 7321832.857020 = 7321832.854074, xb = 7321883.048070, voltage energy = 7321974.954778, gap = 41.7127115810289979
linesolver
iteration 1: energy = 8675887.535341 = 8675887.532397, xb = 8400032.126452, voltage energy = 14295902.040676, gap = 6171725.3201679568737745
iteration 2: energy = 7881762.431022 = 7881762.428078, xb = 7742935.140792, voltage energy = 9272083.579061, gap = 1667975.7255539940670133
iteration 3: energy = 7584329.801086 = 7584329.798142, xb = 7520765.818427, voltage energy = 8088555.948391, gap = 631354.1096784444525838
iteration 4: energy = 7470460.441577 = 7470460.438633, xb = 7431457.464906, voltage energy = 7714306.693587, gap = 321852.2024076543748379
iteration 5: energy = 7406631.499738 = 7406631.496794, xb = 7382125.894639, voltage energy = 7528512.788929, gap = 170892.4964454481378198
iteration 6: energy = 7372231.539323 = 7372231.536378, xb = 7359231.894142, voltage energy = 7442536.175266, gap = 96303.9233608534559608
iteration 7: energy = 7355083.334491 = 7355083.331546, xb = 7344689.654605, voltage energy = 7395655.841533, gap = 61359.8638687739148736
