linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
linesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404104, gap = 19487.9746657723444514
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.4091610628529452
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.7102192294551060
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.3219983660383150
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.0366326822550036
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.0007548354333267
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385877, gap = 0.0000324666034430
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = 0.0000004264875315
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = 0.0000001152511686
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.0000006346381269
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.0000007342314348
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
iteration 5: energy = 333333.407304 = 333333.407297, xb = 333333.441736, voltage energy = 333333.512808, gap = 0.036632
iteration 6: energy = 333333.385372 = 333333.385361, xb = 333333.380919, voltage energy = 333333.377232, gap = 0.000754
iteration 7: energy = 333333.384932 = 333333.384919, xb = 333333.385382, voltage energy = 333333.385876, gap = 0.000032
iteration 8: energy = 333333.384913 = 333333.384900, xb = 333333.384908, voltage energy = 333333.384916, gap = -0.000000
iteration 9: energy = 333333.384913 = 333333.384900, xb = 333333.384844, voltage energy = 333333.384788, gap = -0.000000
iteration 10: energy = 333333.384913 = 333333.384900, xb = 333333.384887, voltage energy = 333333.384875, gap = 0.000001
iteration 11: energy = 333333.384913 = 333333.384900, xb = 333333.384903, voltage energy = 333333.384908, gap = 0.000001
treesolver
iteration 1: energy = 344556.989569 = 344556.989568, xb = 334935.709504, voltage energy = 344802.404105, gap = 19487.974666
iteration 2: energy = 333712.153841 = 333712.153841, xb = 333337.805733, voltage energy = 333600.866786, gap = 637.409161
iteration 3: energy = 333346.362618 = 333346.362616, xb = 333334.363477, voltage energy = 333344.074556, gap = 21.710219
iteration 4: energy = 333334.163924 = 333334.163921, xb = 333333.902303, voltage energy = 333334.962684, gap = 1.321998
