linesolver
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.2829454413731582
iteration 4: energy = 198660.329051 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.6126793592993636
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.9516980154148769
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.9737884767528158
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.3400920380663592
iteration 8: energy = 197230.767945 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.0215080445923377
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.0021880782442167
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.0001850490516517
linesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030538, voltage energy = 411095.369671, gap = 4161388.9907900379039347
iteration 2: energy = 664432.391757 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421951, gap = 489933.7362588773830794
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.2829454413731582
iteration 4: energy = 198660.329051 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.6126793592993636
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.9516980154148769
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.9737884767528158
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.3400920380663592
iteration 8: energy = 197230.767945 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.0215080445923377
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.0021880782442167
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.0001850490516517
linesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030538, voltage energy = 411095.369671, gap = 4161388.9907900379039347
iteration 2: energy = 664432.391757 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421951, gap = 489933.7362588773830794
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.2829454413731582
iteration 4: energy = 198660.329051 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.6126793592993636
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.9516980154148769
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.9737884767528158
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.3400920380663592
iteration 8: energy = 197230.767945 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.0215080445923377
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.0021880782442167
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.0001850490516517
linesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030538, voltage energy = 411095.369671, gap = 4161388.9907900379039347
iteration 2: energy = 664432.391757 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421951, gap = 489933.7362588773830794
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.2829454413731582
iteration 4: energy = 198660.329051 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.6126793592993636
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.9516980154148769
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.9737884767528158
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.3400920380663592
iteration 8: energy = 197230.767945 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.0215080445923377
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.0021880782442167
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.0001850490516517
linesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030538, voltage energy = 411095.369671, gap = 4161388.9907900379039347
iteration 2: energy = 664432.391757 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421951, gap = 489933.7362588773830794
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.2829454413731582
iteration 4: energy = 198660.329051 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.6126793592993636
iteration 5: energy = 197316.636639 = 197316.636639, xb = 197199.501727, voltage energy = 197176.318513, gap = 93.9516980154148769
iteration 6: energy = 197235.644408 = 197235.644409, xb = 197190.241952, voltage energy = 197150.813284, gap = 5.9737884767528158
iteration 7: energy = 197231.053390 = 197231.053391, xb = 197231.010956, voltage energy = 197231.308614, gap = 0.3400920380663592
iteration 8: energy = 197230.767945 = 197230.767945, xb = 197231.997611, voltage energy = 197233.248785, gap = 0.0215080445923377
iteration 9: energy = 197230.749288 = 197230.749288, xb = 197231.007466, voltage energy = 197231.267831, gap = 0.0021880782442167
iteration 10: energy = 197230.748100 = 197230.748099, xb = 197231.061964, voltage energy = 197231.376014, gap = 0.0001850490516517
treesolver
iteration 1: energy = 4128895.682194 = 4128895.682194, xb = 189301.030547, voltage energy = 411095.369775, gap = 4161388.990876
iteration 2: energy = 664432.391756 = 664432.391757, xb = 194205.538724, voltage energy = 213912.421950, gap = 489933.736259
iteration 3: energy = 218038.664320 = 218038.664321, xb = 195964.626630, voltage energy = 200129.871885, gap = 26239.282946
iteration 4: energy = 198660.329050 = 198660.329051, xb = 197677.617743, voltage energy = 199754.519114, gap = 3059.612679
