linesolver
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
linesolver
iteration 1: energy = 112146918.266298 = 112146918.340430, xb = 107067310.058884, voltage energy = 157925233.009361, gap = 55937531.2320228815078735
iteration 2: energy = 100996798.389700 = 100996798.463826, xb = 98783494.968309, voltage energy = 110597320.576945, gap = 14027129.1041534245014191
iteration 3: energy = 97540952.365899 = 97540952.440019, xb = 96543607.821758, voltage energy = 100924365.602157, gap = 5378102.3986596614122391
iteration 4: energy = 96094311.795233 = 96094311.869342, xb = 95668584.153761, voltage energy = 97408247.291835, gap = 2165390.8536558747291565
iteration 5: energy = 95475408.060967 = 95475408.135065, xb = 95310614.928984, voltage energy = 96113285.374434, gap = 967463.6515306979417801
iteration 6: energy = 95224095.445915 = 95224095.519997, xb = 95133774.243452, voltage energy = 95534676.708098, gap = 491223.7411908805370331
iteration 7: energy = 95096807.071216 = 95096807.145268, xb = 95048312.167595, voltage energy = 95261652.243363, gap = 261835.0534419417381287
iteration 8: energy = 95017425.931789 = 95017426.005819, xb = 94998379.181639, voltage energy = 95103325.370987, gap = 123993.0135265290737152
iteration 9: energy = 94981449.925424 = 94981449.999417, xb = 94976361.536435, voltage energy = 95035803.286711, gap = 64530.2132575809955597
iteration 10: energy = 94964630.375553 = 94964630.449496, xb = 94962433.614825, voltage energy = 94993024.467589, gap = 32787.6874342262744904
iteration 11: energy = 94956098.604221 = 94956098.678103, xb = 94955057.115929, voltage energy = 94972695.132850, gap = 18679.5790956914424896
iteration 12: energy = 94951342.434565 = 94951342.508373, xb = 94951631.392400, voltage energy = 94962482.144813, gap = 10561.8683871626853943
iteration 13: energy = 94949199.493659 = 94949199.567373, xb = 94948699.537327, voltage energy = 94955217.789519, gap = 7018.2822380214929581
iteration 14: energy = 94946401.661901 = 94946401.735486, xb = 94947030.087998, voltage energy = 94950284.123865, gap = 2625.6833543628454208
iteration 15: energy = 94945605.155901 = 94945605.229316, xb = 94946491.710809, voltage energy = 94948339.205446, gap = 961.0131444036960602
iteration 16: energy = 94945285.152470 = 94945285.225686, xb = 94945905.079862, voltage energy = 94946930.534808, gap = 405.6007693558931351
iteration 17: energy = 94945153.936014 = 94945154.008996, xb = 94945542.253894, voltage energy = 94946120.758504, gap = 190.2597120255231857
iteration 18: energy = 94945097.371091 = 94945097.443774, xb = 94945397.541001, voltage energy = 94945790.464967, gap = 92.8267386853694916
iteration 19: energy = 94945069.466480 = 94945069.538828, xb = 94945231.907073, voltage energy = 94945440.428800, gap = 46.1534814685583115
treesolver
iteration 1: energy = 112146918.326501 = 112146918.340470, xb = 107067310.081487, voltage energy = 157925233.054779, gap = 55937531.232275
iteration 2: energy = 100996798.449864 = 100996798.463825, xb = 98783494.968230, voltage energy = 110597320.576789, gap = 14027129.104153
iteration 3: energy = 97540952.426067 = 97540952.440022, xb = 96543607.821772, voltage energy = 100924365.602191, gap = 5378102.398669
iteration 4: energy = 96094311.855401 = 96094311.869346, xb = 95668584.153745, voltage energy = 97408247.291813, gap = 2165390.853670
iteration 5: energy = 95475408.121135 = 95475408.135067, xb = 95310614.928979, voltage energy = 96113285.374417, gap = 967463.651526
iteration 6: energy = 95224095.506079 = 95224095.520002, xb = 95133774.243452, voltage energy = 95534676.708100, gap = 491223.741199
iteration 7: energy = 95096807.131380 = 95096807.145271, xb = 95048312.167592, voltage energy = 95261652.243363, gap = 261835.053450
iteration 8: energy = 95017425.991952 = 95017426.005819, xb = 94998379.181635, voltage energy = 95103325.370973, gap = 123993.013523
iteration 9: energy = 94981449.985588 = 94981449.999418, xb = 94976361.536437, voltage energy = 95035803.286713, gap = 64530.213257
iteration 10: energy = 94964630.435717 = 94964630.449497, xb = 94962433.614830, voltage energy = 94993024.467595, gap = 32787.687431
iteration 11: energy = 94956098.664384 = 94956098.678103, xb = 94955057.115934, voltage energy = 94972695.132846, gap = 18679.579083
iteration 12: energy = 94951342.494729 = 94951342.508375, xb = 94951631.392406, voltage energy = 94962482.144820, gap = 10561.868382
iteration 13: energy = 94949199.553823 = 94949199.567372, xb = 94948699.537329, voltage energy = 94955217.789515, gap = 7018.282230
iteration 14: energy = 94946401.722065 = 94946401.735487, xb = 94947030.087995, voltage energy = 94950284.123866, gap = 2625.683364
iteration 15: energy = 94945605.216065 = 94945605.229318, xb = 94946491.710813, voltage energy = 94948339.205446, gap = 961.013138
iteration 16: energy = 94945285.212633 = 94945285.225683, xb = 94945905.079867, voltage energy = 94946930.534807, gap = 405.600756
iteration 17: energy = 94945153.996177 = 94945154.008994, xb = 94945542.253892, voltage energy = 94946120.758503, gap = 190.259713
iteration 18: energy = 94945097.431255 = 94945097.443769, xb = 94945397.541005, voltage energy = 94945790.464967, gap = 92.826726
iteration 19: energy = 94945069.526643 = 94945069.538825, xb = 94945231.907079, voltage energy = 94945440.428800, gap = 46.153468
treesolver
iteration 1: energy = 112146918.326501 = 112146918.340470, xb = 107067310.081487, voltage energy = 157925233.054779, gap = 55937531.232275
iteration 2: energy = 100996798.449864 = 100996798.463825, xb = 98783494.968230, voltage energy = 110597320.576789, gap = 14027129.104153
iteration 3: energy = 97540952.426067 = 97540952.440022, xb = 96543607.821772, voltage energy = 100924365.602191, gap = 5378102.398669
iteration 4: energy = 96094311.855401 = 96094311.869346, xb = 95668584.153745, voltage energy = 97408247.291813, gap = 2165390.853670
iteration 5: energy = 95475408.121135 = 95475408.135067, xb = 95310614.928979, voltage energy = 96113285.374417, gap = 967463.651526
iteration 6: energy = 95224095.506079 = 95224095.520002, xb = 95133774.243452, voltage energy = 95534676.708100, gap = 491223.741199
iteration 7: energy = 95096807.131380 = 95096807.145271, xb = 95048312.167592, voltage energy = 95261652.243363, gap = 261835.053450
