linesolver
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
linesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.2656281287054298
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.1491499616531655
iteration 3: energy = 124226.675662 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.3019800602050964
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.9394748559570871
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.2195775365107693
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.5503793626266997
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.5641231897316175
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.9259826513880398
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.6328548422461608
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.1509664511977462
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.2569535339862341
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.3074210437334841
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.7464396974828560
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.9699021729466040
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.7778325959225185
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.0870193365990417
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.5711232701723929
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.3848539665486896
treesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.265628
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.149150
iteration 3: energy = 124226.675663 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.301980
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.939475
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.219578
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.550379
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.564123
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.925983
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.632855
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.150966
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.256954
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.307421
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.746440
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.969902
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.777833
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.087019
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.571123
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.384854
treesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.265628
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.149150
iteration 3: energy = 124226.675663 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.301980
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.939475
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.219578
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.550379
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.564123
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.925983
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.632855
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.150966
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.256954
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.307421
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.746440
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.969902
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.777833
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.087019
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.571123
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.384854
treesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.265628
iteration 2: energy = 126376.586607 = 126376.586607, xb = 123298.870778, voltage energy = 123323.304100, gap = 3102.149150
iteration 3: energy = 124226.675663 = 124226.675662, xb = 123299.081826, voltage energy = 123452.789970, gap = 1081.301980
iteration 4: energy = 123915.446766 = 123915.446766, xb = 123297.991913, voltage energy = 123357.476535, gap = 676.939475
iteration 5: energy = 123633.213962 = 123633.213962, xb = 123297.965703, voltage energy = 123318.937022, gap = 356.219578
iteration 6: energy = 123444.182301 = 123444.182301, xb = 123296.960547, voltage energy = 123322.289172, gap = 172.550379
iteration 7: energy = 123413.754023 = 123413.754023, xb = 123297.817523, voltage energy = 123315.445145, gap = 133.564123
iteration 8: energy = 123372.345500 = 123372.345500, xb = 123297.325333, voltage energy = 123299.231149, gap = 76.925983
iteration 9: energy = 123331.053971 = 123331.053971, xb = 123297.255221, voltage energy = 123298.089327, gap = 34.632855
iteration 10: energy = 123315.582960 = 123315.582960, xb = 123297.308279, voltage energy = 123298.184564, gap = 19.150966
iteration 11: energy = 123307.106289 = 123307.106289, xb = 123297.166177, voltage energy = 123297.483019, gap = 10.256954
iteration 12: energy = 123303.175666 = 123303.175666, xb = 123297.252428, voltage energy = 123297.636612, gap = 6.307421
iteration 13: energy = 123300.661012 = 123300.661011, xb = 123297.118154, voltage energy = 123297.321737, gap = 3.746440
iteration 14: energy = 123299.980893 = 123299.980892, xb = 123297.122940, voltage energy = 123297.234890, gap = 2.969902
iteration 15: energy = 123298.831226 = 123298.831226, xb = 123297.115513, voltage energy = 123297.177633, gap = 1.777833
iteration 16: energy = 123298.212285 = 123298.212284, xb = 123297.159851, voltage energy = 123297.194437, gap = 1.087019
iteration 17: energy = 123297.692743 = 123297.692742, xb = 123297.149998, voltage energy = 123297.178377, gap = 0.571123
iteration 18: energy = 123297.527241 = 123297.527240, xb = 123297.155511, voltage energy = 123297.168636, gap = 0.384854
treesolver
iteration 1: energy = 127442.611881 = 127442.611881, xb = 123298.071068, voltage energy = 123386.795882, gap = 4233.265628
