linesolver
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.4386094587389380
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.3516248059459031
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.8537429897114635
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.1928265711758286
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.0644286042079329
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.0110415406525135
linesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.1433359817601740
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.1284932841081172
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.4455981068313122
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.6042505558580160
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.1279891065787524
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.4386094587389380
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.3516248059459031
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.8537429897114635
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.1928265711758286
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.0644286042079329
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.0110415406525135
linesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.1433359817601740
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.1284932841081172
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.4455981068313122
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.6042505558580160
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.1279891065787524
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.4386094587389380
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.3516248059459031
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.8537429897114635
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.1928265711758286
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.0644286042079329
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.0110415406525135
linesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.1433359817601740
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.1284932841081172
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.4455981068313122
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.6042505558580160
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.1279891065787524
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.4386094587389380
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.3516248059459031
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.8537429897114635
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.1928265711758286
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.0644286042079329
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.0110415406525135
linesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.1433359817601740
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.1284932841081172
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.4455981068313122
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.6042505558580160
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.1279891065787524
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.4386094587389380
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.3516248059459031
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.8537429897114635
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.1928265711758286
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.0644286042079329
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.0110415406525135
linesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.1433359817601740
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.1284932841081172
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.4455981068313122
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.6042505558580160
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.1279891065787524
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.4386094587389380
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.3516248059459031
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.8537429897114635
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.1928265711758286
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.0644286042079329
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.0110415406525135
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
treesolver
iteration 1: energy = 1718256.616714 = 1718256.616714, xb = 1718601.783404, voltage energy = 1750883.093429, gap = 31936.143336
iteration 2: energy = 1701817.536523 = 1701817.536523, xb = 1703412.738294, voltage energy = 1711702.068558, gap = 6694.128493
iteration 3: energy = 1698189.444675 = 1698189.444675, xb = 1699088.986510, voltage energy = 1701383.973943, gap = 1395.445598
iteration 4: energy = 1697435.840937 = 1697435.840937, xb = 1697804.568876, voltage energy = 1698499.901066, gap = 326.604251
iteration 5: energy = 1697249.289395 = 1697249.289395, xb = 1697403.458376, voltage energy = 1697625.755346, gap = 68.127989
iteration 6: energy = 1697210.322585 = 1697210.322585, xb = 1697259.123240, voltage energy = 1697322.362504, gap = 14.438609
iteration 7: energy = 1697202.129975 = 1697202.129974, xb = 1697217.727462, voltage energy = 1697236.676574, gap = 3.351625
iteration 8: energy = 1697200.263750 = 1697200.263750, xb = 1697205.604525, voltage energy = 1697211.799044, gap = 0.853743
iteration 9: energy = 1697199.796671 = 1697199.796670, xb = 1697201.337634, voltage energy = 1697203.071424, gap = 0.192827
iteration 10: energy = 1697199.691381 = 1697199.691381, xb = 1697200.373765, voltage energy = 1697201.120578, gap = 0.064429
iteration 11: energy = 1697199.663101 = 1697199.663100, xb = 1697199.791554, voltage energy = 1697199.931050, gap = 0.011042
recursivelinesolver
iteration 0: residue = 0.075920, energy = 1765816.297984 = 1765816.297984, xb = 1758380.704290, voltage energy = 1868495.570661, gap = 117550.460065
iteration 1: residue = 0.057454, energy = 1742611.001162 = 1742611.001162, xb = 1738700.228809, voltage energy = 1805237.422428, gap = 70447.965973
